,ABBV.N,ABT.N,ADM.N,ADP.O,AFL.N,ALB.N,AOS.N,APD.N,ATO.N,BDX.N,BEN.N,BFb.N,BRO.N,CAH.N,CAT.N,CB.N,CHD.N,CHRW.O,CINF.O,CL.N,CLX.N,CTAS.O,CVX.N,DOV.N,ECL.N,ED.N,EMR.N,ESS.N,EXPD.O,FRT.N,GD.N,GPC.N,GWW.N,HRL.N,IBM.N,ITW.N,JNJ.N,KMB.N,KO.N,LIN.N,LOW.N,MCD.N,MDT.N,MKC.N,MMM.N,NDSN.O,NEE.N,NUE.N,O.N,PEP.O,PG.N,PNR.N,PPG.N,ROP.O,SHW.N,SJM.N,SPGI.N,SWK.N,SYY.N,TGT.N,TROW.O,WBA.O,WMT.N,WST.N,XOM.N
2018-12-24,0.0,0.0,8.204607971288254e-13,2.7930785327179308e-12,0.0,1.08542896610234e-11,0.0,0.0,0.0,1.6629519850028086e-12,3.355300560751656e-12,0.9999999989647997,0.0,6.352725394144035e-12,1.068152510885767e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.642855793526349e-12,6.356448027223886e-13,7.751740253545697e-12,6.000044291821323e-13,0.0,2.9844198512436344e-12,0.0,2.817168645837731e-12,0.0,4.912795149400971e-12,0.0,1.1948731552173613e-12,0.0,7.37601625709774e-13,2.1124220666937362e-12,1.7758280561932687e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7890102707953097e-13,0.0,0.0,3.8196549176127664e-12,0.0,0.0,0.0,2.186804507043742e-12,0.0,3.475469042498578e-12,2.7465740143275263e-13,0.0,0.0,1.4889479365843652e-12,0.0,0.0,6.272142273501972e-13,7.848440504052006e-12,0.0,1.2844938880443484e-12,3.0007027160656827e-12
2018-12-26,0.9999999999976773,2.825632523101307e-13,0.0,0.0,6.988398575102917e-14,0.0,2.3965638501488584e-14,6.47355433147645e-14,4.627092979603287e-14,0.0,0.0,1.0070893771696454e-13,4.6336198766816494e-14,0.0,0.0,4.269046054161674e-14,9.323162901420101e-14,0.0,2.3879769689427732e-14,5.091044773253284e-14,1.3215990801729305e-14,0.0,0.0,0.0,3.3562562451461275e-15,1.0035158468091332e-13,0.0,6.044492163737036e-14,0.0,1.457232771950867e-14,0.0,3.435641528215516e-14,0.0,2.3695672160539694e-14,0.0,0.0,0.0,7.268274523908325e-14,6.882233498373136e-14,6.748377898158076e-14,5.646301134976106e-12,7.246243535763419e-14,3.693638277180167e-14,4.8347393796777105e-14,0.0,1.6338059377618563e-14,8.428587688902311e-14,0.0,8.775098703228679e-14,2.1210030259899426e-14,7.424833317615231e-14,0.0,2.0177002429955238e-15,0.0,0.0,0.0,1.5308934675495323e-15,0.0,5.617056299256351e-14,3.8569408083999335e-15,0.0,0.0,3.414564637982398e-14,0.0,0.0
2018-12-27,0.41891938398322665,1.260534401468713e-12,0.0,0.0,3.0057360951313977e-12,0.0,1.0897229841579092e-12,2.605579222975281e-10,1.8117535466669055e-12,0.0,0.0,3.230474915350001e-12,1.929105041941631e-12,0.0,0.0,2.1158554238103616e-12,3.5442934123632724e-12,0.0,1.0061385860744843e-12,1.634088914528875e-12,1.4478652651805923e-13,0.0,0.0,0.0,3.7105689072551573e-13,3.416958637694409e-12,0.0,2.2627576353427548e-12,0.0,5.909271552986817e-13,0.0,9.905036047006682e-13,0.0,1.190644344185518e-12,4.3885549491293196e-14,0.0,0.0,2.746771533097478e-12,2.7547940057576215e-12,0.5810806169852676,1.7946246160145674e-12,2.527803595782363e-12,9.475211143038925e-13,1.3008592955002923e-12,5.330913661893977e-15,2.1932354749617383e-12,3.208640357533696e-12,0.0,3.256389813832347e-12,1.2203550886838443e-12,3.178794873810384e-12,0.0,9.936696105695975e-13,0.0,5.2671183929133e-13,0.0,4.127827094892178e-13,0.0,2.003370966298032e-12,0.0,1.2242764853113985e-13,0.0,9.79580294917931e-13,0.0,0.0
2018-12-28,1.0,5.5927051184623267e-14,4.088092711573843e-15,6.092912632760239e-14,0.0,1.5821935775428564e-13,0.0,0.0,0.0,3.845816894110232e-14,4.193173586131138e-14,0.0,0.0,9.022752163467818e-14,1.2212388218746373e-13,0.0,0.0,0.0,0.0,0.0,7.985365840790237e-15,8.247764450575179e-14,5.0364660358903635e-14,8.390250300083224e-14,9.331294417713742e-15,0.0,6.124115971284372e-14,0.0,6.191965343238515e-14,3.4245609820127143e-15,1.0351051613066709e-13,0.0,3.6937250133539656e-14,0.0,4.824851455864643e-14,6.59242625766776e-14,3.114045479812866e-14,0.0,0.0,0.0,3.910760604242114e-14,0.0,0.0,0.0,4.780030538054092e-14,2.1857082116438775e-14,0.0,4.5949572272108163e-14,0.0,0.0,0.0,3.6009823595195556e-14,0.0,8.93354400871571e-14,3.3935094317927295e-14,0.0,1.3394450479320419e-14,7.063837362264458e-14,0.0,2.776771867996075e-14,4.886477507348719e-14,1.3750740997242605e-13,0.0,9.755000626721078e-15,5.146881185136287e-14
2018-12-31,0.0,3.0962799161705584e-13,4.463846507110264e-14,2.0795170035677014e-13,4.113276565847492e-14,7.68599175573153e-13,0.0,0.0,0.0,2.025060295463307e-13,2.1784538476887347e-13,0.0,0.0,3.900289127340702e-13,6.005634574059823e-13,0.0,0.0,0.0,4.244630427815533e-14,0.0,1.4243056924462783e-13,4.53633921917849e-13,3.0793547636086197e-13,4.1647870594927827e-13,1.2770743269264159e-13,0.0,3.377230181941812e-13,0.0,2.495060986258895e-13,1.7641800870206467e-14,2.5297660064602286e-13,0.0,1.6718500770385165e-13,0.0,2.275348933330466e-13,3.6688390814301634e-13,1.6058587676389646e-13,0.9999999999971974,0.0,0.0,0.0,0.0,4.193922696355833e-14,0.0,2.636131583576109e-13,1.5117890108129294e-13,0.0,2.478916009078724e-13,0.0,0.0,0.0,1.4644148183167178e-13,0.0,4.924515197112408e-13,2.0929414052971308e-13,0.0,4.790205975126775e-14,3.27132883933757e-13,0.0,1.8667014775385058e-13,2.4565119753821846e-13,6.015048054496628e-13,6.738999413046784e-14,6.942512585712497e-14,2.6958760158641245e-13
2019-01-02,7.346198224151562e-15,0.0,0.0,0.0,0.9999999999680222,0.0,1.8439038449357446e-13,3.614475400022464e-14,6.310541619223779e-14,0.0,0.0,9.332437692079076e-14,1.0413386785568431e-13,0.0,0.0,6.542959901315558e-14,4.148740651546275e-14,1.5074552440597414e-14,0.0,5.130861583280522e-14,0.0,0.0,0.0,0.0,0.0,8.300804526267166e-14,0.0,1.6074287130231184e-14,0.0,0.0,0.0,7.766396128234029e-14,0.0,0.0,0.0,0.0,0.0,3.182321073325056e-11,1.1443338180909006e-13,7.191071810675283e-14,1.1888089250017847e-12,1.2919725879087713e-13,0.0,0.0,0.0,1.3452961561396636e-14,1.1360551198603134e-13,0.0,0.0,8.248332258142675e-14,4.05707351603296e-14,0.0,2.6104117111361488e-14,0.0,0.0,7.233672472261555e-14,3.1407449678608835e-14,0.0,1.0030871036671033e-13,0.0,0.0,0.0,1.4908034582181314e-14,0.0,0.0
2019-01-03,0.0,0.0,7.049829470195945e-13,4.555505278558414e-13,0.0,2.2073991939874915e-12,6.756799980633943e-13,0.0,3.0564092923235364e-13,8.361072251217294e-13,6.811200908840576e-13,0.0,4.550353149834763e-14,2.3753291000794263e-12,0.0,0.0,0.0,5.097571670331646e-13,0.0,0.0,0.0,0.0,0.0,1.4586734597976658e-12,0.0,4.554932819811341e-13,3.5272999798774407e-13,3.9794556538907955e-13,7.081852465562477e-13,7.380155514491449e-13,6.158441812065263e-13,6.047818496002222e-13,5.185626233972229e-13,0.0,0.0,0.0,7.597290851979466e-13,0.0,3.9664452278209694e-14,0.0,0.999999999998004,0.0,4.735985908999041e-13,3.4174572893785893e-13,0.0,0.0,3.5214886562329184e-13,1.100237956297434e-12,0.0,3.770352086096551e-13,0.0,3.304145151927784e-13,1.0881399947759718e-13,0.0,0.0,3.4152021488598194e-13,0.0,0.0,2.4738197601514855e-13,0.0,0.0,1.869872312543208e-12,0.0,1.010568365100717e-12,9.97693247462017e-13
2019-01-04,3.20449198748955e-14,0.0,0.0,0.0,0.40374620809928463,0.0,1.825874974518728e-13,3.0664044993888805e-14,7.076623383772434e-14,0.0,0.0,1.182084738068526e-13,8.495868519572313e-14,0.0,0.0,3.770735516228621e-14,3.761870438596985e-14,1.5947920640987672e-14,0.0,5.209383403324438e-14,0.0,0.0,0.0,0.0,0.0,6.725843390091294e-14,0.0,2.549932615842869e-14,0.0,0.0,0.0,4.42493610477021e-14,0.0,1.1757683632911825e-14,0.0,0.0,0.0,1.0840785032789867e-14,9.882755988977978e-14,9.806681376198881e-14,0.5962537919048525,6.913823793592397e-14,0.0,0.0,0.0,0.0,9.687673138580511e-14,0.0,1.3523648919432003e-14,5.069224410800042e-14,2.267216353644007e-14,0.0,5.4289294983025905e-14,0.0,0.0,7.700311347467246e-14,1.701197410782742e-14,1.21904514269476e-14,6.789570412696244e-14,1.3888369556260573e-14,0.0,0.0,6.711970118454016e-14,0.0,0.0
2019-01-07,0.0,4.5269167076810256e-13,0.0,3.8515204214880865e-13,0.0,1.274100043139324e-12,0.40622913180345765,0.0,0.0,3.661802349024079e-13,2.8070262622633187e-13,0.0,0.0,6.949982155338912e-13,3.0648896885159e-13,0.0,0.0,1.9542209120284007e-14,1.0957888519426291e-13,0.0,0.0,1.3889911735816236e-13,2.3324891889515144e-13,4.2539331256693707e-13,2.509433624915343e-13,0.0,6.877865631843696e-14,0.0,3.123990269659666e-13,1.4538336956533498e-13,2.460049753902032e-13,0.0,1.1410052221634244e-14,0.0,1.4986880300310906e-13,1.5286353202028063e-13,6.320850740405988e-13,0.0,0.0,0.0,0.5937708681924143,0.0,3.696508179635429e-13,1.7368688474124162e-13,4.65845692391739e-13,1.4999795603570958e-13,0.0,3.471448914361832e-13,0.0,0.0,0.0,1.4919011811979153e-13,0.0,5.938669937392971e-13,9.123074001927335e-14,0.0,0.0,0.0,0.0,0.0,1.9248129386242486e-13,9.655309396068084e-13,0.0,4.312343286767166e-13,3.8587738189000987e-13
2019-01-08,0.0,4.672989324910536e-13,0.0,4.009027289890558e-13,0.0,1.3493592484776635e-12,0.5003366543208121,0.0,0.0,3.6856216717634006e-13,3.0815833999270557e-13,0.0,0.0,7.383958576234363e-13,2.9666236960909555e-13,0.0,0.0,4.0824392871551073e-14,8.279286437713108e-14,0.0,0.0,1.2484822643802232e-13,2.537002379129236e-13,4.402417665602664e-13,2.31469874390658e-13,0.0,5.923352902318762e-14,0.0,3.3284355425056113e-13,1.485129753071769e-13,2.6601580620263696e-13,0.0,1.1238654966732562e-14,0.0,1.6071772136361148e-13,1.4081177500720557e-13,6.641911427326743e-13,0.0,0.0,0.0,0.49966334567506016,0.0,3.6730073934353757e-13,1.7271590683563598e-13,5.050067171904263e-13,1.5312818519875727e-13,0.0,3.6307026255244846e-13,0.0,0.0,0.0,1.709520269730894e-13,0.0,6.186723176176506e-13,9.60202920526271e-14,0.0,0.0,0.0,0.0,6.644421182582825e-15,2.1272893969751752e-13,1.0091240942013393e-12,0.0,4.720922683874677e-13,4.120200082732465e-13
