Threshold: 0.01, AUC: 0.7687
Threshold: 0.02, AUC: 0.7818
Threshold: 0.03, AUC: 0.7609
Threshold: 0.04, AUC: 0.7992
Threshold: 0.05, AUC: 0.8024
Threshold: 0.06, AUC: 0.7777
Threshold: 0.07, AUC: 0.7757
Threshold: 0.08, AUC: 0.7990
Threshold: 0.09, AUC: 0.7818
Threshold: 0.10, AUC: 0.7913
Threshold: 0.11, AUC: 0.8380
Threshold: 0.12, AUC: 0.7897
Threshold: 0.13, AUC: 0.7931
Threshold: 0.14, AUC: 0.7765
Threshold: 0.15, AUC: 0.7885
Threshold: 0.16, AUC: 0.8102
Threshold: 0.17, AUC: 0.7658
Threshold: 0.18, AUC: 0.7645
Threshold: 0.19, AUC: 0.7380
Threshold: 0.20, AUC: 0.8116
Threshold: 0.21, AUC: 0.8127
Threshold: 0.22, AUC: 0.7876
Threshold: 0.23, AUC: 0.7971
Threshold: 0.24, AUC: 0.7548
Threshold: 0.25, AUC: 0.8561
Threshold: 0.26, AUC: 0.7891
Threshold: 0.27, AUC: 0.8498
Threshold: 0.28, AUC: 0.7700
Threshold: 0.29, AUC: 0.8478
Threshold: 0.30, AUC: 0.8309
Threshold: 0.31, AUC: 0.9175
Threshold: 0.32, AUC: 0.7888
Threshold: 0.33, AUC: 0.7850
Threshold: 0.34, AUC: 0.7899
Threshold: 0.35, AUC: 0.8342
Threshold: 0.36, AUC: 0.8322
Threshold: 0.37, AUC: 0.8119
Threshold: 0.38, AUC: 0.8065
Threshold: 0.39, AUC: 0.8958
Threshold: 0.40, AUC: 0.7871
Threshold: 0.41, AUC: 0.8812
Threshold: 0.42, AUC: 0.8258
Threshold: 0.43, AUC: 0.8278
Threshold: 0.44, AUC: 0.8075
Threshold: 0.45, AUC: 0.7924
Threshold: 0.46, AUC: 0.7027
Threshold: 0.47, AUC: 0.7824
Threshold: 0.48, AUC: 0.7336
Threshold: 0.49, AUC: 0.8515
Threshold: 0.50, AUC: 0.9514
Threshold: 0.51, AUC: 0.8468
Threshold: 0.52, AUC: 0.7390
Threshold: 0.53, AUC: 0.7271
Threshold: 0.54, AUC: 0.8244
Threshold: 0.55, AUC: 0.7385
Threshold: 0.56, AUC: 0.8443
Threshold: 0.57, AUC: 0.7948
Threshold: 0.58, AUC: 0.9268
Threshold: 0.59, AUC: 0.8719
Threshold: 0.60, AUC: 0.7912
Threshold: 0.61, AUC: 0.5929
Threshold: 0.62, AUC: 0.6487
Threshold: 0.63, AUC: 0.7958
Threshold: 0.64, AUC: 0.8212
Threshold: 0.65, AUC: 0.7572
Threshold: 0.66, AUC: 0.9684
Threshold: 0.67, AUC: 0.7063
Threshold: 0.68, AUC: 0.5000
Threshold: 0.69, AUC: 0.7469
Threshold: 0.70, AUC: 0.9875
Threshold: 0.71, AUC: 0.9872
Threshold: 0.72, AUC: 0.9625
Threshold: 0.73, AUC: nan
Threshold: 0.74, AUC: 0.9875
Threshold: 0.75, AUC: 0.5000
Threshold: 0.76, AUC: nan
Threshold: 0.77, AUC: 0.5000
Threshold: 0.78, AUC: 0.5000
Threshold: 0.79, AUC: nan
Threshold: 0.80, AUC: nan
Threshold: 0.81, AUC: nan
Threshold: 0.82, AUC: nan
Threshold: 0.83, AUC: nan
Threshold: 0.84, AUC: nan
Threshold: 0.85, AUC: 0.5000
Threshold: 0.86, AUC: nan
Threshold: 0.87, AUC: nan
Threshold: 0.88, AUC: nan
Threshold: 0.89, AUC: nan
Threshold: 0.90, AUC: nan
Threshold: 0.91, AUC: nan
Threshold: 0.92, AUC: nan
Threshold: 0.93, AUC: nan
Threshold: 0.94, AUC: nan
Threshold: 0.95, AUC: nan
Threshold: 0.96, AUC: nan
Threshold: 0.97, AUC: nan
Threshold: 0.98, AUC: nan
Threshold: 0.99, AUC: nan
Threshold: 1.00, AUC: nan

Best Inclusion Threshold: 0.70, Best AUC: 0.9875
